,booking_count,age_in_days,core_earning,active_days,followers,company tier numerical,college tier numerical,years of experience,# of posts/week,avg engagement per post last 30 days,# of Posts last 30 days,# of Comments last 30 days,# of Reactions last 30 days,gender_score,# of promotional posts,target_score
60,87,221,550,221,4113.0,9.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
61,87,98,0,98,8276.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
62,85,26,1,26,7404.0,7.0,10.0,6.0,1.12,48.125,6.0,2.0,1.0,1,1.0,0
63,83,48,3880,34,7233.0,10.0,8.0,3.0,0.388888889,22.5,0.0,0.0,4.0,1,0.0,1
64,80,376,1964,376,27468.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
65,80,134,0,130,7458.0,10.0,9.0,4.0,7.0,243.5,2.0,3.0,2.0,1,1.0,0
66,78,59,119,59,34151.0,10.0,8.0,1.0,1.75,65.0,1.0,0.0,1.0,1,1.0,1
68,77,195,0,195,31904.0,6.0,7.0,4.0,0.0,0.0,0.0,4.0,0.0,1,0.0,0
69,77,42,3850,42,2358.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
70,77,160,44850,155,29130.0,8.0,7.0,5.0,0.972222222,664.4,3.0,2.0,1.0,1,1.0,1
71,73,16,0,16,880.0,7.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
73,69,69,503395,63,73978.0,8.0,10.0,3.0,3.266666667,1942.571429,14.0,12.0,5.0,1,13.0,1
74,68,181,44040,175,5576.0,10.0,10.0,6.0,1.0,92.0,4.0,0.0,2.0,0,0.0,1
75,68,86,1127,76,35834.0,7.0,8.0,0.0,4.375,434.6,5.0,0.0,12.0,0,3.0,1
76,67,338,150,338,27959.0,5.0,7.0,1.0,0.0,0.0,0.0,6.0,6.0,1,0.0,0
77,67,146,20636,146,7533.0,8.0,8.0,3.0,0.954545455,237.3333333,3.0,1.0,2.0,0,3.0,1
78,66,103,11034,103,115772.0,8.0,8.0,5.0,0.233333333,368.0,1.0,2.0,9.0,1,0.0,1
79,66,170,13448,166,16812.0,10.0,7.0,4.0,1.75,114.5,2.0,2.0,1.0,0,2.0,1
80,66,101,0,94,151228.0,8.0,7.0,4.0,5.25,98.83333333,6.0,4.0,2.0,1,4.0,0
81,66,143,250,133,11804.0,10.0,7.0,3.0,7.0,119.875,8.0,8.0,1.0,1,0.0,1
82,64,351,8345,351,17105.0,10.0,8.0,2.0,0.945945946,42.0,4.0,3.0,1.0,1,0.0,1
83,64,112,4327,106,14766.0,8.0,7.0,2.0,16.8,38.25,12.0,10.0,5.0,1,6.0,1
84,63,114,0,105,13579.0,8.0,7.0,5.0,9.333333333,38.66666667,12.0,4.0,5.0,1,1.0,0
85,63,191,5378,191,5987.0,10.0,9.0,6.0,0.49122807,92.75,2.0,0.0,2.0,0,1.0,1
86,62,138,29441,138,23347.0,10.0,6.0,3.0,2.701754386,476.5909091,6.0,0.0,6.0,1,6.0,1
87,62,98,0,98,1624.0,10.0,7.0,4.0,0.122807018,23.0,0.0,0.0,0.0,1,0.0,0
88,62,98,1387,92,10435.0,8.0,7.0,4.0,7.0,84.8,15.0,10.0,4.0,1,14.0,1
89,61,276,0,276,2127.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
93,58,211,4399,211,9555.0,7.0,7.0,2.0,2.916666667,59.86666667,13.0,8.0,0.0,0,10.0,1
94,58,223,10200,223,22623.0,8.0,9.0,4.0,1.3125,209.0,5.0,3.0,1.0,1,2.0,1
95,57,126,102000,116,37618.0,10.0,10.0,6.0,1.75,87.0,5.0,0.0,2.0,1,2.0,1
98,53,310,11944,310,16663.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
99,53,149,5953,135,40114.0,10.0,8.0,2.0,7.538461538,350.5,14.0,13.0,8.0,1,13.0,1
100,53,202,20361,195,4607.0,10.0,9.0,6.0,0.98245614,42.875,1.0,1.0,0.0,1,1.0,1
101,52,86,0,86,28712.0,8.0,6.0,2.0,0.777777778,478.25,2.0,0.0,2.0,0,0.0,0
102,52,14,0,14,3277.0,7.0,8.0,5.0,1.4,20.0,3.0,0.0,0.0,1,1.0,0
103,52,38,1649,33,121363.0,10.0,8.0,12.0,3.111111111,1212.5,15.0,7.0,3.0,1,0.0,1
104,52,25,0,19,1630.0,8.0,9.0,4.0,0.318181818,85.0,1.0,0.0,0.0,0,1.0,0
106,51,338,0,336,1697.0,8.0,8.0,1.0,0.636363636,1.0,2.0,0.0,0.0,1,0.0,0
107,51,142,6171,142,58268.0,8.0,8.0,1.0,2.947368421,359.25,6.0,0.0,6.0,0,3.0,1
108,51,88,7185,78,50052.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,13.0,1,0.0,1
109,51,65,0,65,1494.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
110,50,324,20700,324,7373.0,10.0,8.0,13.0,0.162790698,370.0,0.0,0.0,0.0,1,0.0,1
111,50,299,6280,299,7500.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
113,49,375,2771,375,17480.0,10.0,8.0,3.0,2.333333333,175.4736842,17.0,5.0,12.0,1,2.0,1
114,49,60,24612,60,26875.0,10.0,7.0,8.0,3.5,2698.0,1.0,0.0,5.0,1,0.0,1
116,48,241,14801,241,3184.0,8.0,10.0,5.0,1.944444444,8.8,5.0,1.0,0.0,1,1.0,1
117,48,103,1450,100,16888.0,9.0,7.0,1.0,5.6,605.75,12.0,8.0,6.0,1,3.0,1
119,47,159,0,159,12429.0,7.0,7.0,4.0,4.666666667,181.2105263,24.0,1.0,0.0,1,0.0,0
120,47,138,6636,131,27479.0,8.0,7.0,4.0,3.181818182,179.7,10.0,9.0,2.0,1,0.0,1
121,47,72,704,72,10886.0,9.0,10.0,5.0,7.0,110.5,8.0,6.0,7.0,1,0.0,1
122,47,10,0,10,49533.0,9.0,7.0,5.0,7.0,268.0,4.0,1.0,3.0,1,2.0,0
123,46,339,1145,339,3172.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
124,46,273,3472,268,22200.0,8.0,7.0,3.0,2.625,396.0,3.0,1.0,3.0,1,3.0,1
125,45,421,1697,421,21140.0,7.0,7.0,6.0,2.8,96.14285714,13.0,12.0,4.0,1,0.0,1
126,45,26,199,26,937.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
127,45,129,4706,129,76376.0,9.0,7.0,2.0,5.25,484.4166667,23.0,20.0,5.0,1,21.0,1
128,45,59,0,59,368.0,8.0,7.0,1.0,1.105263158,21.22222222,6.0,1.0,0.0,1,3.0,0
129,44,141,3984,141,5957.0,7.0,9.0,3.0,0.614035088,107.2,1.0,0.0,1.0,1,0.0,1
130,44,134,54685,126,1195.0,8.0,9.0,2.0,0.42,30.66666667,2.0,0.0,0.0,0,0.0,1
131,44,98,0,98,2743.0,8.0,7.0,18.0,6.045454545,38.0,19.0,8.0,2.0,1,2.0,0
132,44,74,0,69,6386.0,7.0,7.0,2.0,0.466666667,28.0,1.0,0.0,1.0,1,1.0,0
133,44,18,0,14,5261.0,7.0,8.0,24.0,0.614035088,47.2,4.0,1.0,3.0,1,2.0,0
134,43,347,865,346,25658.0,8.0,9.0,1.0,7.0,120.3,10.0,6.0,9.0,1,10.0,1
135,43,210,41374,210,11996.0,10.0,7.0,6.0,4.052631579,98.45454545,21.0,11.0,6.0,1,1.0,1
136,43,193,2683,193,5680.0,8.0,7.0,4.0,1.105263158,62.66666667,2.0,1.0,1.0,1,0.0,1
137,43,150,26471,139,90162.0,8.0,7.0,4.0,3.85,187.1818182,11.0,12.0,1.0,1,5.0,1
138,43,35,2123,30,6611.0,8.0,7.0,11.0,4.375,186.4,5.0,9.0,7.0,1,1.0,1
139,42,274,5100,270,3123.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
140,42,32,495,32,25656.0,9.0,8.0,2.0,0.614035088,22.0,1.0,0.0,0.0,1,1.0,1
143,42,135,0,131,2045.0,8.0,7.0,3.0,0.368421053,108.0,1.0,0.0,1.0,0,1.0,0
144,42,43,1194,43,31075.0,10.0,8.0,6.0,7.122807018,129.6034483,21.0,6.0,3.0,1,19.0,1
145,41,278,5414,278,4374.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
146,41,312,0,312,26478.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,1,0.0,0
147,41,291,0,291,12693.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
149,41,170,4378,170,3020.0,10.0,7.0,7.0,1.909090909,60.11111111,7.0,3.0,2.0,1,4.0,1
150,41,143,10600,143,37070.0,10.0,10.0,2.0,3.070175439,175.8,14.0,10.0,0.0,1,11.0,1
151,41,59,0,59,3576.0,8.0,7.0,8.0,0.49122807,18.0,1.0,0.0,0.0,1,0.0,0
152,40,395,3478,395,8200.0,9.0,9.0,8.0,3.266666667,74.14285714,7.0,6.0,1.0,1,2.0,1
153,40,347,45575,347,18273.0,10.0,9.0,3.0,0.325581395,59.0,1.0,0.0,0.0,1,1.0,1
154,40,149,3889,139,13665.0,9.0,7.0,6.0,3.0,56.53333333,14.0,6.0,13.0,1,12.0,1
155,40,43,343,43,3264.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
156,39,397,11065,397,38812.0,8.0,9.0,7.0,0.65625,20.66666667,2.0,1.0,0.0,0,1.0,1
157,39,297,0,280,2906.0,7.0,8.0,8.0,2.824561404,4.434782609,12.0,0.0,0.0,1,0.0,0
158,39,136,4796,136,17512.0,7.0,8.0,6.0,0.24137931,78.0,1.0,0.0,2.0,1,0.0,1
159,39,295,3566,292,20739.0,1.0,8.0,8.0,0.0,0.0,0.0,1.0,8.0,1,0.0,1
160,39,33,1100,27,19098.0,10.0,10.0,3.0,3.5,255.0,4.0,3.0,6.0,0,0.0,1
161,38,81,1465,81,21232.0,10.0,8.0,4.0,0.388888889,183.5,0.0,0.0,0.0,1,0.0,1
164,38,6,0,6,1564.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
165,37,345,4277,345,40604.0,8.0,7.0,6.0,0.945945946,87.2,3.0,0.0,7.0,1,0.0,1
166,37,351,139,351,17536.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
168,37,160,7900,148,4901.0,8.0,9.0,5.0,7.0,40.0,1.0,2.0,1.0,1,0.0,1
169,37,117,13000,113,26240.0,8.0,6.0,12.0,10.5,162.0,3.0,2.0,12.0,1,1.0,1
170,37,79,12220,79,14351.0,7.0,7.0,3.0,2.676470588,187.0,12.0,3.0,10.0,0,9.0,1
171,37,51,12,51,570.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
172,37,53,0,53,1972.0,7.0,7.0,5.0,2.456140351,70.05,10.0,3.0,3.0,1,2.0,0
173,37,90,998,84,3519.0,8.0,7.0,3.0,2.456140351,14.45,14.0,0.0,6.0,1,3.0,1
175,36,63,0,63,7116.0,8.0,7.0,4.0,0.122807018,65.0,0.0,0.0,0.0,1,0.0,0
176,36,6,0,6,11408.0,10.0,8.0,4.0,0.245614035,105.5,1.0,0.0,0.0,0,0.0,0
177,36,192,1486,192,1684.0,9.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
178,36,59,0,59,2495.0,10.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
179,35,12,0,12,1860.0,10.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
180,35,129,1700,129,77360.0,8.0,9.0,4.0,2.333333333,590.1,4.0,1.0,0.0,1,0.0,1
181,35,97,19500,97,39633.0,10.0,7.0,7.0,1.166666667,459.0,5.0,0.0,3.0,1,0.0,1
182,35,109,8260,109,4987.0,8.0,7.0,4.0,1.4,19.0,3.0,0.0,0.0,1,0.0,1
183,35,65,4,61,2854.0,10.0,7.0,4.0,1.647058824,38.25,4.0,1.0,3.0,1,2.0,0
184,35,14,0,12,2616.0,8.0,9.0,1.0,2.227272727,85.14285714,7.0,6.0,2.0,1,6.0,0
186,34,218,50700,207,11453.0,7.0,7.0,7.0,1.228070175,19.0,4.0,0.0,0.0,0,1.0,1
187,34,69,11734,63,13296.0,9.0,9.0,6.0,2.087719298,136.4705882,10.0,5.0,5.0,0,2.0,1
188,34,43,0,43,12700.0,10.0,8.0,3.0,0.245614035,596.5,0.0,0.0,0.0,1,0.0,0
191,34,46,0,46,16880.0,7.0,9.0,6.0,0.736842105,9.666666667,5.0,1.0,0.0,1,2.0,0
192,34,32,30200,32,4139.0,10.0,10.0,3.0,0.333333333,106.5,0.0,0.0,0.0,1,0.0,1
193,33,181,8000,181,14458.0,8.0,7.0,1.0,0.233333333,169.0,1.0,3.0,0.0,1,0.0,1
195,33,195,5467,195,1348.0,10.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
196,33,291,294,291,22204.0,10.0,9.0,3.0,0.162790698,158.0,0.0,0.0,0.0,0,0.0,1
198,33,282,43500,282,30263.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
199,33,234,0,234,378.0,7.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
200,33,227,10493,227,7540.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
202,33,79,0,79,4669.0,8.0,8.0,2.0,3.266666667,10.71428571,7.0,1.0,7.0,1,1.0,0
203,33,82,6686,71,3481.0,10.0,8.0,5.0,0.859649123,45.57142857,5.0,3.0,2.0,1,1.0,1
204,33,30,9243,27,19118.0,8.0,10.0,3.0,3.818181818,61.58333333,12.0,3.0,4.0,1,9.0,1
205,32,273,4974,273,87566.0,10.0,7.0,14.0,0.466666667,3359.5,2.0,3.0,14.0,1,0.0,1
207,32,213,15842,213,9312.0,8.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
208,32,64,919,64,26012.0,7.0,7.0,0.0,2.8,188.8333333,6.0,7.0,1.0,1,1.0,1
209,32,2,275,2,2808.0,10.0,7.0,1.0,1.105263158,69.0,7.0,0.0,7.0,1,4.0,1
210,32,71,14150,71,29719.0,10.0,7.0,7.0,1.105263158,344.8888889,4.0,1.0,2.0,1,0.0,1
211,32,110,0,88,3194.0,10.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
212,32,100,6282,95,27214.0,8.0,9.0,12.0,0.0,0.0,0.0,0.0,4.0,0,0.0,1
213,31,376,5550,376,12953.0,10.0,8.0,5.0,0.205882353,87.0,0.0,0.0,3.0,1,0.0,1
214,31,181,6786,181,74157.0,10.0,8.0,2.0,0.0,0.0,0.0,11.0,10.0,1,0.0,1
215,31,48,0,48,10067.0,8.0,7.0,2.0,2.545454545,25.625,8.0,5.0,3.0,0,5.0,0
216,31,201,1996,131,19250.0,7.0,10.0,1.0,6.125,82.42857143,7.0,10.0,7.0,1,4.0,1
217,31,158,8997,155,4939.0,8.0,7.0,4.0,0.194444444,31.0,0.0,1.0,0.0,1,0.0,1
218,31,131,2291,126,10158.0,10.0,8.0,7.0,0.368421053,214.6666667,2.0,0.0,2.0,1,0.0,1
219,31,46,1341,46,4536.0,10.0,8.0,6.0,0.49122807,36.75,1.0,1.0,0.0,1,0.0,1
220,31,54,1500,27,24194.0,8.0,8.0,5.0,0.614035088,84.8,1.0,0.0,0.0,1,1.0,1
221,30,356,4573,356,11891.0,9.0,9.0,3.0,0.245614035,156.0,0.0,0.0,0.0,1,0.0,1
223,30,41,2970,41,137020.0,8.0,7.0,4.0,0.24137931,9876.0,1.0,2.0,7.0,0,0.0,1
226,30,125,1988,125,10793.0,8.0,8.0,10.0,1.228070175,17.9,1.0,0.0,0.0,1,1.0,1
227,30,96,1550,82,1507.0,10.0,10.0,7.0,0.245614035,5.0,1.0,0.0,0.0,0,0.0,1
228,29,14,0,14,132708.0,9.0,8.0,2.0,0.233333333,2540.0,1.0,2.0,10.0,1,0.0,0
229,29,185,0,185,6565.0,8.0,10.0,4.0,2.8,98.66666667,6.0,1.0,7.0,1,3.0,0
231,29,165,300,165,22476.0,8.0,7.0,2.0,10.0,107.8,10.0,0.0,10.0,1,10.0,1
232,29,166,0,166,844.0,8.0,7.0,14.0,0.245614035,6.0,0.0,0.0,0.0,0,0.0,0
233,29,153,3700,153,4166.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
234,29,182,0,175,12996.0,8.0,7.0,16.0,0.368421053,17.0,2.0,1.0,0.0,1,1.0,0
235,29,135,0,91,2315.0,10.0,8.0,7.0,0.245614035,14.0,0.0,0.0,0.0,1,0.0,0
236,29,100,12000,100,9200.0,10.0,6.0,6.0,0.122807018,46.0,0.0,0.0,0.0,1,0.0,1
237,29,83,1260,70,9845.0,7.0,9.0,3.0,8.909090909,68.21428571,14.0,5.0,9.0,0,5.0,1
238,29,11,0,11,577.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
239,29,25,750,25,7928.0,8.0,7.0,4.0,0.56,30.0,2.0,0.0,1.0,1,1.0,1
240,28,332,4185,332,7202.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
241,28,238,176844,216,3889.0,7.0,7.0,5.0,3.315789474,10.03703704,8.0,1.0,0.0,1,4.0,1
242,28,131,50,131,10865.0,8.0,8.0,2.0,2.210526316,60.22222222,14.0,1.0,13.0,1,2.0,0
243,28,46,0,46,9676.0,8.0,8.0,4.0,0.245614035,63.5,1.0,0.0,0.0,1,1.0,0
245,28,37,6931,33,3431.0,8.0,7.0,2.0,1.4,261.0,2.0,4.0,1.0,0,0.0,1
246,28,32,0,32,3533.0,8.0,10.0,5.0,0.122807018,500.0,0.0,0.0,0.0,1,0.0,0
247,28,47,28799,47,151885.0,10.0,8.0,3.0,2.428571429,1108.823529,15.0,8.0,8.0,1,9.0,1
248,27,387,3640,387,83968.0,10.0,7.0,5.0,8.75,605.6,5.0,6.0,2.0,1,1.0,1
250,27,298,9279,298,8759.0,8.0,7.0,7.0,0.0,0.0,0.0,2.0,0.0,1,0.0,1
252,27,71,0,71,3363.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
255,26,0,0,0,4468.0,10.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
257,26,167,99,167,2014.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
258,26,70,6929,65,11600.0,8.0,8.0,4.0,7.0,168.4444444,9.0,2.0,12.0,0,0.0,1
259,26,42,29000,32,35714.0,7.0,8.0,4.0,1.75,847.0,4.0,3.0,2.0,1,0.0,1
261,25,83,0,83,2671.0,8.0,10.0,10.0,0.170731707,85.0,0.0,0.0,0.0,1,0.0,0
262,25,347,0,347,3666.0,10.0,7.0,4.0,0.666666667,37.0,2.0,1.0,0.0,1,0.0,0
263,25,44,0,44,5896.0,9.0,9.0,2.0,2.27027027,104.0833333,11.0,3.0,8.0,1,1.0,0
265,25,246,3566,246,3795.0,10.0,10.0,6.0,0.162790698,19.0,0.0,0.0,0.0,1,0.0,1
266,25,241,0,241,1710.0,8.0,10.0,2.0,0.122807018,25.0,0.0,0.0,0.0,0,0.0,0
267,25,245,3480,245,14509.0,10.0,7.0,5.0,4.912280702,97.875,20.0,5.0,12.0,0,4.0,1
268,25,154,4465,154,7346.0,8.0,7.0,3.0,2.625,207.3333333,3.0,1.0,2.0,0,2.0,1
269,25,94,170990,76,58020.0,8.0,10.0,4.0,1.884615385,1656.142857,7.0,2.0,2.0,1,4.0,1
270,25,87,0,83,6590.0,8.0,8.0,4.0,4.0,546.5,4.0,4.0,1.0,0,0.0,0
271,25,77,0,74,8911.0,8.0,7.0,2.0,3.070175439,14.12,23.0,2.0,2.0,1,1.0,0
272,25,2,0,2,46706.0,10.0,7.0,4.0,0.24137931,297.0,0.0,0.0,0.0,0,0.0,0
273,24,177,1592,177,5983.0,7.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1
274,24,377,10000,377,16640.0,8.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1
275,24,289,2333,289,8124.0,10.0,7.0,1.0,3.5,18.81818182,11.0,9.0,2.0,1,1.0,1
278,24,138,4778,134,29007.0,8.0,7.0,3.0,1.909090909,566.0,3.0,2.0,2.0,1,3.0,1
279,24,124,0,124,1510.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
280,24,75,28976,73,24378.0,10.0,8.0,3.0,4.666666667,264.7,10.0,5.0,9.0,1,3.0,1
281,24,130,0,126,17681.0,5.0,7.0,5.0,5.6,36.75,4.0,5.0,1.0,0,0.0,0
282,24,94,0,94,2004.0,8.0,8.0,3.0,0.122807018,12.0,0.0,0.0,0.0,1,0.0,0
283,24,104,0,102,4565.0,8.0,8.0,15.0,6.0,79.16666667,6.0,8.0,3.0,0,1.0,0
284,24,11,0,11,7773.0,10.0,8.0,1.0,0.976744186,111.0,5.0,2.0,3.0,1,3.0,0
285,24,65,0,65,2502.0,7.0,10.0,8.0,1.842105263,46.73333333,10.0,8.0,2.0,1,6.0,0
286,23,325,2147,325,1550.0,8.0,9.0,7.0,0.122807018,4.0,0.0,0.0,0.0,1,0.0,1
287,23,365,548,365,24267.0,9.0,8.0,3.0,0.162790698,78.0,0.0,0.0,0.0,1,0.0,1
288,23,339,0,339,10708.0,8.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0
289,23,193,10,189,4981.0,10.0,7.0,5.0,1.75,87.88888889,6.0,1.0,3.0,1,0.0,0
290,23,251,5250,251,5860.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1
291,23,223,2519,213,25987.0,7.0,8.0,3.0,1.166666667,19.6,5.0,1.0,4.0,1,5.0,1
292,23,126,6983,126,504239.0,7.0,8.0,1.0,0.318181818,378.0,1.0,0.0,1.0,0,1.0,1
