,booking_count,age_in_days,core_earning,active_days,followers,company tier numerical,college tier numerical,years of experience,# of posts/week,avg engagement per post last 30 days,# of Posts last 30 days,# of Comments last 30 days,# of Reactions last 30 days,gender_score,# of promotional posts,Target
72,71.0,213.0,14100.0,213.0,18676.0,9.0,8.0,12.0,1.2492968009170824,165.2508505459396,3.0867339499939606,1.5676187342452705,1.727556002855424,0.0,1.1020931895798145,1
73,69.0,69.0,503395.0,63.0,73978.0,8.0,10.0,3.0,3.266666667,1942.571429,14.0,12.0,5.0,1.0,13.0,1
74,68.0,181.0,44040.0,175.0,5576.0,10.0,10.0,6.0,1.0,92.0,4.0,0.0,2.0,0.0,0.0,1
75,68.0,86.0,1127.0,76.0,35834.0,7.0,8.0,0.0,4.375,434.6,5.0,0.0,12.0,0.0,3.0,1
76,67.0,338.0,150.0,338.0,27959.0,5.0,7.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,1
77,67.0,146.0,20636.0,146.0,7533.0,8.0,8.0,3.0,0.954545455,237.3333333,3.0,1.0,2.0,0.0,3.0,1
78,66.0,103.0,11034.0,103.0,115772.0,8.0,8.0,5.0,0.233333333,368.0,1.0,2.0,9.0,1.0,0.0,1
79,66.0,170.0,13448.0,166.0,16812.0,10.0,7.0,4.0,1.75,114.5,2.0,2.0,1.0,0.0,2.0,1
80,66.0,101.0,0.0,94.0,151228.0,8.0,7.0,4.0,5.25,98.83333333,6.0,4.0,2.0,1.0,4.0,0
81,66.0,143.0,250.0,133.0,11804.0,10.0,7.0,3.0,7.0,119.875,8.0,8.0,1.0,1.0,0.0,1
82,64.0,351.0,8345.0,351.0,17105.0,10.0,8.0,2.0,0.945945946,42.0,4.0,3.0,1.0,1.0,0.0,1
83,64.0,112.0,4327.0,106.0,14766.0,8.0,7.0,2.0,16.8,38.25,12.0,10.0,5.0,1.0,6.0,1
84,63.0,114.0,0.0,105.0,13579.0,8.0,7.0,5.0,9.333333333,38.66666667,12.0,4.0,5.0,1.0,1.0,0
85,63.0,191.0,5378.0,191.0,5987.0,10.0,9.0,6.0,0.49122807,92.75,2.0,0.0,2.0,0.0,1.0,1
86,62.0,138.0,29441.0,138.0,23347.0,10.0,6.0,3.0,2.701754386,476.5909091,6.0,0.0,6.0,1.0,6.0,1
87,62.0,98.0,0.0,98.0,1624.0,10.0,7.0,4.0,0.122807018,23.0,0.0,0.0,0.0,1.0,0.0,0
88,62.0,98.0,1387.0,92.0,10435.0,8.0,7.0,4.0,7.0,84.8,15.0,10.0,4.0,1.0,14.0,1
89,61.0,276.0,0.0,276.0,2127.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
90,60.0,265.0,13100.0,265.0,7675.0,7.0,7.705465241425546,11.0,0.933333333,36.0,2.0,0.0,0.0,1.0,1.0,1
91,60.0,149.0,13242.0,145.0,15516.014270674064,8.24832335764763,7.8129402132569306,5.05048467262419,1.4237944240361662,146.29031537106857,3.5221701998080954,1.5833677697444488,1.6648777134323103,1.0,1.3211401848279243,1
92,59.0,2.0,0.0,2.0,6836.6743955762595,9.0,7.907114596138114,5.0528513640079655,1.0405503661731739,66.27648899019928,2.5847751586856273,0.8604947051659683,0.7538406365145296,1.0,0.9055335503264337,0
93,58.0,211.0,4399.0,211.0,9555.0,7.0,7.0,2.0,2.916666667,59.86666667,13.0,8.0,0.0,0.0,10.0,1
94,58.0,223.0,10200.0,223.0,22623.0,8.0,9.0,4.0,1.3125,209.0,5.0,3.0,1.0,1.0,2.0,1
95,57.0,126.0,102000.0,116.0,37618.0,10.0,10.0,6.0,1.75,87.0,5.0,0.0,2.0,1.0,2.0,1
96,56.0,58.0,499.0,58.0,9213.494655479728,10.0,7.856017564952874,5.0300149225866315,0.9539048640109645,80.1621337724757,2.210720080151457,0.8889685890748931,0.9613800278656206,1.0,0.8022023421531064,1
97,55.0,130.0,685.0,124.0,26354.0,6.0,6.0,5.011297135207548,1.9070603778584734,171.7171196817284,4.253671599805363,1.9816095684458266,1.9998801620164859,0.0,1.5077233799660388,1
98,53.0,310.0,11944.0,310.0,16663.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
99,53.0,149.0,5953.0,135.0,40114.0,10.0,8.0,2.0,7.538461538,350.5,14.0,13.0,8.0,1.0,13.0,1
100,53.0,202.0,20361.0,195.0,4607.0,10.0,9.0,6.0,0.98245614,42.875,1.0,1.0,0.0,1.0,1.0,1
101,52.0,86.0,0.0,86.0,28712.0,8.0,6.0,2.0,0.777777778,478.25,2.0,0.0,2.0,0.0,0.0,0
102,52.0,14.0,0.0,14.0,3277.0,7.0,8.0,5.0,1.4,20.0,3.0,0.0,0.0,1.0,1.0,0
103,52.0,38.0,1649.0,33.0,121363.0,10.0,8.0,12.0,3.111111111,1212.5,15.0,7.0,3.0,1.0,0.0,1
104,52.0,25.0,0.0,19.0,1630.0,8.0,9.0,4.0,0.318181818,85.0,1.0,0.0,0.0,0.0,1.0,0
105,51.0,153.0,3382.0,153.0,13731.29815775967,10.0,9.0,2.0,0.9079423845719219,111.52147535038638,1.8924144062685824,1.1070243873632983,1.3281055970836444,1.0,0.796317545953212,1
106,51.0,338.0,0.0,336.0,1697.0,8.0,8.0,1.0,0.636363636,1.0,2.0,0.0,0.0,1.0,0.0,0
107,51.0,142.0,6171.0,142.0,58268.0,8.0,8.0,1.0,2.947368421,359.25,6.0,0.0,6.0,0.0,3.0,1
108,51.0,88.0,7185.0,78.0,50052.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,1
109,51.0,65.0,0.0,65.0,1494.0,8.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
110,50.0,324.0,20700.0,324.0,7373.0,10.0,8.0,13.0,0.162790698,370.0,0.0,0.0,0.0,1.0,0.0,1
111,50.0,299.0,6280.0,299.0,7500.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
112,50.0,10.0,0.0,6.0,2170.0,6.0,8.0,5.047336767847831,1.4500192082310301,41.46899987304405,3.85475669163106,1.1588670982927647,0.7937610624951194,1.0,1.2483509080315096,0
113,49.0,375.0,2771.0,375.0,17480.0,10.0,8.0,3.0,2.333333333,175.4736842,17.0,5.0,12.0,1.0,2.0,1
114,49.0,60.0,24612.0,60.0,26875.0,10.0,7.0,8.0,3.5,2698.0,1.0,0.0,5.0,1.0,0.0,1
115,49.0,90.0,11197.0,90.0,27931.0,6.0,5.0,5.081366897557193,2.1506743908763895,207.0732130451688,5.440867101551774,2.1637112490558055,2.1722468830849024,1.0,1.870895233322963,1
116,48.0,241.0,14801.0,241.0,3184.0,8.0,10.0,5.0,1.944444444,8.8,5.0,1.0,0.0,1.0,1.0,1
117,48.0,103.0,1450.0,100.0,16888.0,9.0,7.0,1.0,5.6,605.75,12.0,8.0,6.0,1.0,3.0,1
118,47.0,165.0,300.0,159.0,14406.857931598266,8.251772452483957,7.757171481038513,4.983488735552729,1.3941642248139443,107.20660873838213,3.2092947003338392,1.441242230214842,1.594822493451903,1.0,1.1129071906940884,1
119,47.0,159.0,0.0,159.0,12429.0,7.0,7.0,4.0,4.666666667,181.2105263,24.0,1.0,0.0,1.0,0.0,0
120,47.0,138.0,6636.0,131.0,27479.0,8.0,7.0,4.0,3.181818182,179.7,10.0,9.0,2.0,1.0,0.0,1
121,47.0,72.0,704.0,72.0,10886.0,9.0,10.0,5.0,7.0,110.5,8.0,6.0,7.0,1.0,0.0,1
122,47.0,10.0,0.0,10.0,49533.0,9.0,7.0,5.0,7.0,268.0,4.0,1.0,3.0,1.0,2.0,0
123,46.0,339.0,1145.0,339.0,3172.0,7.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
124,46.0,273.0,3472.0,268.0,22200.0,8.0,7.0,3.0,2.625,396.0,3.0,1.0,3.0,1.0,3.0,1
125,45.0,421.0,1697.0,421.0,21140.0,7.0,7.0,6.0,2.8,96.14285714,13.0,12.0,4.0,1.0,0.0,1
126,45.0,26.0,199.0,26.0,937.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
127,45.0,129.0,4706.0,129.0,76376.0,9.0,7.0,2.0,5.25,484.4166667,23.0,20.0,5.0,1.0,21.0,1
128,45.0,59.0,0.0,59.0,368.0,8.0,7.0,1.0,1.105263158,21.22222222,6.0,1.0,0.0,1.0,3.0,0
129,44.0,141.0,3984.0,141.0,5957.0,7.0,9.0,3.0,0.614035088,107.2,1.0,0.0,1.0,1.0,0.0,1
130,44.0,134.0,54685.0,126.0,1195.0,8.0,9.0,2.0,0.42,30.66666667,2.0,0.0,0.0,0.0,0.0,1
131,44.0,98.0,0.0,98.0,2743.0,8.0,7.0,18.0,6.045454545,38.0,19.0,8.0,2.0,1.0,2.0,0
132,44.0,74.0,0.0,69.0,6386.0,7.0,7.0,2.0,0.466666667,28.0,1.0,0.0,1.0,1.0,1.0,0
133,44.0,18.0,0.0,14.0,5261.0,7.0,8.0,24.0,0.614035088,47.2,4.0,1.0,3.0,1.0,2.0,0
134,43.0,347.0,865.0,346.0,25658.0,8.0,9.0,1.0,7.0,120.3,10.0,6.0,9.0,1.0,10.0,1
135,43.0,210.0,41374.0,210.0,11996.0,10.0,7.0,6.0,4.052631579,98.45454545,21.0,11.0,6.0,1.0,1.0,1
136,43.0,193.0,2683.0,193.0,5680.0,8.0,7.0,4.0,1.105263158,62.66666667,2.0,1.0,1.0,1.0,0.0,1
137,43.0,150.0,26471.0,139.0,90162.0,8.0,7.0,4.0,3.85,187.1818182,11.0,12.0,1.0,1.0,5.0,1
138,43.0,35.0,2123.0,30.0,6611.0,8.0,7.0,11.0,4.375,186.4,5.0,9.0,7.0,1.0,1.0,1
139,42.0,274.0,5100.0,270.0,3123.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
140,42.0,32.0,495.0,32.0,25656.0,9.0,8.0,2.0,0.614035088,22.0,1.0,0.0,0.0,1.0,1.0,1
141,42.0,244.0,0.0,240.0,17815.096847427558,8.365476402342964,7.680579271072243,4.9464594911996675,1.4394899479102983,124.51439841616278,3.2345095071470036,1.605079108404777,1.9194699864452989,1.0,1.1014545948723025,0
142,42.0,172.0,0.0,172.0,14408.91304940728,9.0,7.751643214066095,4.978206578856098,1.2213370442528897,106.44437561956234,2.8129978510791305,1.3028452327661717,1.5186661436219717,1.0,0.9552201551327681,0
143,42.0,135.0,0.0,131.0,2045.0,8.0,7.0,3.0,0.368421053,108.0,1.0,0.0,1.0,0.0,1.0,0
144,42.0,43.0,1194.0,43.0,31075.0,10.0,8.0,6.0,7.122807018,129.6034483,21.0,6.0,3.0,1.0,19.0,1
145,41.0,278.0,5414.0,278.0,4374.0,10.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
146,41.0,312.0,0.0,312.0,26478.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0
147,41.0,291.0,0.0,291.0,12693.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
148,41.0,277.0,11083.0,230.0,18131.0,7.0,6.0,1.0,2.1298520500765057,154.6047279435499,3.89229785427906,2.4289314786224447,2.6475877514948607,0.0,1.7161698488845776,1
149,41.0,170.0,4378.0,170.0,3020.0,10.0,7.0,7.0,1.909090909,60.11111111,7.0,3.0,2.0,1.0,4.0,1
150,41.0,143.0,10600.0,143.0,37070.0,10.0,10.0,2.0,3.070175439,175.8,14.0,10.0,0.0,1.0,11.0,1
151,41.0,59.0,0.0,59.0,3576.0,8.0,7.0,8.0,0.49122807,18.0,1.0,0.0,0.0,1.0,0.0,0
152,40.0,395.0,3478.0,395.0,8200.0,9.0,9.0,8.0,3.266666667,74.14285714,7.0,6.0,1.0,1.0,2.0,1
153,40.0,347.0,45575.0,347.0,18273.0,10.0,9.0,3.0,0.325581395,59.0,1.0,0.0,0.0,1.0,1.0,1
154,40.0,149.0,3889.0,139.0,13665.0,9.0,7.0,6.0,3.0,56.53333333,14.0,6.0,13.0,1.0,12.0,1
155,40.0,43.0,343.0,43.0,3264.0,9.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
156,39.0,397.0,11065.0,397.0,38812.0,8.0,9.0,7.0,0.65625,20.66666667,2.0,1.0,0.0,0.0,1.0,1
157,39.0,297.0,0.0,280.0,2906.0,7.0,8.0,8.0,2.824561404,4.434782609,12.0,0.0,0.0,1.0,0.0,0
158,39.0,136.0,4796.0,136.0,17512.0,7.0,8.0,6.0,0.24137931,78.0,1.0,0.0,2.0,1.0,0.0,1
159,39.0,295.0,3566.0,292.0,20739.0,1.0,8.0,8.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,1
160,39.0,33.0,1100.0,27.0,19098.0,10.0,10.0,3.0,3.5,255.0,4.0,3.0,6.0,0.0,0.0,1
161,38.0,81.0,1465.0,81.0,21232.0,10.0,8.0,4.0,0.388888889,183.5,0.0,0.0,0.0,1.0,0.0,1
162,38.0,24.0,0.0,24.0,8119.247931825252,8.099954729521997,7.903395371597593,5.046310026411906,1.0300809392220829,73.08794547251954,2.3451041355987843,0.9836331021554362,0.7681117668884032,0.0,0.8405779884061789,0
163,38.0,40.0,12400.0,36.0,10428.449786624236,9.0,7.938267251565086,5.099259522294635,1.176066511694535,117.14920115974721,3.0269878728830752,1.2162531402414707,1.1206260137788244,1.0,1.144095200348315,1
164,38.0,6.0,0.0,6.0,1564.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
165,37.0,345.0,4277.0,345.0,40604.0,8.0,7.0,6.0,0.945945946,87.2,3.0,0.0,7.0,1.0,0.0,1
166,37.0,351.0,139.0,351.0,17536.0,10.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
167,37.0,226.0,0.0,108.0,19528.920379399504,8.14360786260512,7.740373145462382,4.979427227371688,2.680139578052793,133.66456696578155,4.359383292083491,2.772714811848879,3.084481325044398,1.0,2.117044328204755,0
168,37.0,160.0,7900.0,148.0,4901.0,8.0,9.0,5.0,7.0,40.0,1.0,2.0,1.0,1.0,0.0,1
169,37.0,117.0,13000.0,113.0,26240.0,8.0,6.0,12.0,10.5,162.0,3.0,2.0,12.0,1.0,1.0,1
170,37.0,79.0,12220.0,79.0,14351.0,7.0,7.0,3.0,2.676470588,187.0,12.0,3.0,10.0,0.0,9.0,1
171,37.0,51.0,12.0,51.0,570.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
172,37.0,53.0,0.0,53.0,1972.0,7.0,7.0,5.0,2.456140351,70.05,10.0,3.0,3.0,1.0,2.0,0
173,37.0,90.0,998.0,84.0,3519.0,8.0,7.0,3.0,2.456140351,14.45,14.0,0.0,6.0,1.0,3.0,1
174,37.0,76.0,0.0,72.0,436.0,5.0,5.0,5.015378333973397,1.7485748062552882,32.22065902322712,4.241877740949739,1.441824627036528,1.1000469616632407,0.0,1.322925011136477,0
175,36.0,63.0,0.0,63.0,7116.0,8.0,7.0,4.0,0.122807018,65.0,0.0,0.0,0.0,1.0,0.0,0
176,36.0,6.0,0.0,6.0,11408.0,10.0,8.0,4.0,0.245614035,105.5,1.0,0.0,0.0,0.0,0.0,0
177,36.0,192.0,1486.0,192.0,1684.0,9.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
178,36.0,59.0,0.0,59.0,2495.0,10.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
179,35.0,12.0,0.0,12.0,1860.0,10.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
180,35.0,129.0,1700.0,129.0,77360.0,8.0,9.0,4.0,2.333333333,590.1,4.0,1.0,0.0,1.0,0.0,1
181,35.0,97.0,19500.0,97.0,39633.0,10.0,7.0,7.0,1.166666667,459.0,5.0,0.0,3.0,1.0,0.0,1
182,35.0,109.0,8260.0,109.0,4987.0,8.0,7.0,4.0,1.4,19.0,3.0,0.0,0.0,1.0,0.0,1
183,35.0,65.0,4.0,61.0,2854.0,10.0,7.0,4.0,1.647058824,38.25,4.0,1.0,3.0,1.0,2.0,0
184,35.0,14.0,0.0,12.0,2616.0,8.0,9.0,1.0,2.227272727,85.14285714,7.0,6.0,2.0,1.0,6.0,0
185,34.0,349.0,0.0,349.0,22373.964902411746,8.522169784682882,7.58111687289348,4.899087146162284,1.4857217004044858,148.6945379597766,3.2650930169795083,1.8157205064143256,2.3409131419339477,1.0,1.079137881912048,0
186,34.0,218.0,50700.0,207.0,11453.0,7.0,7.0,7.0,1.228070175,19.0,4.0,0.0,0.0,0.0,1.0,1
187,34.0,69.0,11734.0,63.0,13296.0,9.0,9.0,6.0,2.087719298,136.4705882,10.0,5.0,5.0,0.0,2.0,1
188,34.0,43.0,0.0,43.0,12700.0,10.0,8.0,3.0,0.245614035,596.5,0.0,0.0,0.0,1.0,0.0,0
